pathwy.id	description	pvalues	Bonferroni	successes	PathwaySize	N	sample.size	Genes
R-HSA-5625740	RHO GTPases activate PKNs	1	1	0.24	252.11	603749.5	1070.73	SFN;AR
R-HSA-5626467	RHO GTPases activate IQGAPs	1	1	0.1	41.09	603749.5	1070.73	TUBB4A;CDH1
R-HSA-5628897	TP53 Regulates Metabolic Genes	1	1	0.23	733.21	603749.5	1070.73	RRAGD;TP63;SFN
R-HSA-5633007	Regulation of TP53 Activity	1	1	0.07	1033.43	603749.5	1070.73	TP63;EXO1
R-HSA-5633008	TP53 Regulates Transcription of Cell Death Genes	1	1	0.42	182.12	603749.5	1070.73	TP53AIP1;PERP
R-HSA-5635838	Activation of SMO	1	1	0.67	95.17	603749.5	1070.73	EVC2;SMO
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	1	1	0.5	225.94	603749.5	1070.73	TNF;EDARADD;TNFRSF18
R-HSA-5669034	TNFs bind their physiological receptors	1	1	0.75	343.92	603749.5	1070.73	EDARADD;TNFRSF18
R-HSA-5688426	Deubiquitination	1	1	0.23	3025.75	603749.5	1070.73	NOD2;AXIN2;GATA3;AR
R-HSA-5689880	Ub-specific processing proteases	1	1	1.73	5883.15	603749.5	1070.73	RNF128;GATA3;AXIN2;AR
R-HSA-5689896	Ovarian tumor domain proteases	1	1	0.27	157.81	603749.5	1070.73	NOD2;RNF128
R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	1	1	0.29	144.82	603749.5	1070.73	SFN;RGCC
R-HSA-6798695	Neutrophil degranulation	1	1	20.55	43684.78	603749.5	1070.73	MNDA;S100A7;ADAM8;AMPD3;DSC1;KRT1;SLC27A2;CD44;PRSS3;S100A8;S100A9;DSG1;PKP1;JUP
R-HSA-6802952	Signaling by BRAF and RAF fusions	1	1	0.2	539.9	603749.5	1070.73	FN1;ESRP1
R-HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	1	1	0.57	90.79	603749.5	1070.73	TP53AIP1;TP63
R-HSA-6803205	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	1	1	0.57	55.65	603749.5	1070.73	PERP;TP63
R-HSA-69473	G2/M DNA damage checkpoint	1	1	0.11	53.89	603749.5	1070.73	SFN;EXO1
R-HSA-71240	Tryptophan catabolism	1	1	0.62	37.32	603749.5	1070.73	HAAO;SLC7A5
R-HSA-71387	Metabolism of carbohydrates	1	1	1.42	6376.68	603749.5	1070.73	SLC2A1;HAS1;DSE;HS3ST6;CHPF;HS3ST3A1;XYLT1;OMD;CD44;BCAN
R-HSA-73887	Death Receptor Signalling	1	1	0.34	485.54	603749.5	1070.73	TNF;ARHGEF4;ARHGEF10L;VAV3
R-HSA-8854214	TBC/RABGAPs	1	1	0.75	645.28	603749.5	1070.73	RAB7B;SYTL1
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	1	1	0.53	1855.41	603749.5	1070.73	SYT8;CD4
R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	1	1	0.49	127.17	603749.5	1070.73	APOE;TFAP2A;TFAP2B;TFAP2C
R-HSA-8874081	MET activates PTK2 signaling	1	1	0.3	226.18	603749.5	1070.73	FN1;COL27A1
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	1	1	0.42	2548.91	603749.5	1070.73	RAB7B;RAB27B
R-HSA-8878159	Transcriptional regulation by RUNX3	1	1	0.18	132.08	603749.5	1070.73	ITGA4;RUNX3
R-HSA-8878166	Transcriptional regulation by RUNX2	1	1	0.16	105.93	603749.5	1070.73	AR;SOX9
R-HSA-8957322	Metabolism of steroids	1	1	0.26	1478.31	603749.5	1070.73	SLC27A2;BZRAP1;SMARCD3
R-HSA-8964043	Plasma lipoprotein clearance	1	1	0.3	115.12	603749.5	1070.73	APOE;VLDLR
R-HSA-9007101	Rab regulation of trafficking	1	1	0.33	875.6	603749.5	1070.73	RAB27B;SYTL1
R-HSA-9008059	Interleukin-37 signaling	1	1	0.67	109.54	603749.5	1070.73	PTPN20;PTPN13
R-HSA-913709	O-linked glycosylation of mucins	1	1	0.57	1023.87	603749.5	1070.73	MUC15;GALNT14
R-HSA-917937	Iron uptake and transport	1	1	0.56	340.29	603749.5	1070.73	CP;SLC22A17
R-HSA-936837	Ion transport by P-type ATPases	1	1	0.67	739.44	603749.5	1070.73	FXYD3;ATP2C2
R-HSA-9616222	Transcriptional regulation of granulopoiesis	1	1	0.75	12.22	603749.5	1070.73	CEBPA;SPI1
R-HSA-983189	Kinesins	1	1	0.56	1148.48	603749.5	1070.73	TUBB4A;KLC3
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	1	1	0.18	2974.94	603749.5	1070.73	GATA3;KLC3;TUBB4A
