0,patient1,patient2,patient3,patient4,patient5,patient6,patient7,patient8,patient9,patient10
HLA-DOA,1780.0,4042.0,2400.0,1211.0,2277.0,1106.0,2494.0,1774.0,2550.0,1769.0
HLA-DOB,111.0,131.0,76.0,63.0,44.0,60.0,105.0,138.0,138.0,36.0
HLA-DPA1,18456.0,24120.0,43868.0,11721.0,21626.0,16328.0,18457.0,17499.0,31948.0,11648.0
HLA-DPB1,10074.0,10934.0,18539.0,4948.0,10482.0,4442.0,7977.0,8716.0,13586.0,4925.0
HLA-DPB2,60.0,44.0,1.0,1.0,0.0,0.0,0.0,2.0,163.0,12.0
HLA-DQA1,6976.0,9584.0,14063.0,4850.0,6319.0,2674.0,6178.0,11084.0,6652.0,3312.0
HLA-DQA2,657.0,6137.0,4950.0,0.0,505.0,5.0,22.0,39.0,7191.0,776.0
HLA-DQB1,8071.0,4854.0,12192.0,6151.0,6620.0,4585.0,9138.0,12170.0,3300.0,3664.0
HLA-DQB2,974.0,1545.0,728.0,0.0,490.0,34.0,215.0,187.0,939.0,312.0
HLA-DRA,38019.0,56590.0,85548.0,25886.0,48982.0,27183.0,51004.0,54551.0,74480.0,32882.0
HLA-DRB1,48349.0,33070.0,53816.0,35995.0,43646.0,37513.0,38959.0,46455.0,28136.0,18742.0
HLA-DRB5,24576.0,15077.0,18934.0,20616.0,10543.0,23770.0,21412.0,9251.0,18555.0,6111.0
HLA-DRB6,3080.0,7029.0,12479.0,29.0,5190.0,36.0,1426.0,5042.0,10937.0,3386.0
HLA-E,61735.0,85948.0,101418.0,41049.0,65450.0,50710.0,54002.0,42250.0,68419.0,54053.0
HLA-F,3948.0,5197.0,4216.0,1939.0,2442.0,2743.0,2256.0,3330.0,3839.0,3163.0
HLA-F-AS1,139.0,185.0,86.0,69.0,99.0,103.0,147.0,140.0,69.0,75.0
HLA-G,493.0,489.0,1266.0,2.0,336.0,5.0,537.0,93.0,498.0,766.0
HLA-H,3742.0,7189.0,4873.0,67.0,5294.0,74.0,6246.0,1435.0,572.0,1183.0
HLA-J,273.0,263.0,326.0,166.0,890.0,170.0,283.0,318.0,408.0,204.0
HLA-L,557.0,918.0,548.0,312.0,838.0,228.0,735.0,758.0,835.0,192.0
HLCS,113.0,160.0,91.0,38.0,78.0,138.0,95.0,68.0,134.0,143.0
HLF,596.0,1925.0,33.0,25.0,19.0,1001.0,377.0,312.0,1634.0,2067.0
HLTF,346.0,492.0,538.0,332.0,357.0,382.0,447.0,240.0,440.0,595.0
HLTF-AS1,6.0,11.0,6.0,7.0,0.0,4.0,3.0,12.0,2.0,0.0
HLX,173.0,166.0,359.0,233.0,349.0,116.0,93.0,800.0,184.0,111.0
HLX-AS1,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0
HM13,1596.0,2062.0,2032.0,1413.0,1480.0,1517.0,1394.0,1018.0,1684.0,1271.0
HM13-AS1,5.0,19.0,12.0,10.0,6.0,5.0,6.0,4.0,2.0,3.0
HMBOX1,154.0,566.0,397.0,242.0,261.0,503.0,369.0,378.0,157.0,366.0
HMBS,108.0,115.0,163.0,45.0,109.0,110.0,105.0,55.0,173.0,93.0
HMCES,939.0,1221.0,987.0,594.0,931.0,900.0,926.0,359.0,960.0,934.0
HMCN1,87.0,37.0,53.0,53.0,85.0,95.0,85.0,67.0,65.0,81.0
HMCN2,7.0,27.0,28.0,9.0,29.0,15.0,7.0,0.0,6.0,8.0
HMG20A,523.0,974.0,735.0,379.0,657.0,634.0,585.0,339.0,592.0,840.0
HMG20B,748.0,1216.0,1260.0,436.0,1057.0,728.0,514.0,447.0,1091.0,758.0
HMGA1,947.0,485.0,276.0,129.0,155.0,401.0,333.0,282.0,126.0,193.0
HMGA1P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGA2,14.0,17.0,11.0,6.0,2.0,11.0,7.0,21.0,6.0,3.0
HMGB1,10017.0,9206.0,12632.0,5594.0,8197.0,7633.0,7750.0,6043.0,11676.0,9207.0
HMGB2,2522.0,2232.0,3885.0,1925.0,2242.0,1962.0,2139.0,2770.0,3398.0,2240.0
HMGB3,95.0,64.0,170.0,59.0,145.0,73.0,98.0,32.0,208.0,158.0
HMGB3P1,9.0,9.0,12.0,18.0,8.0,16.0,26.0,29.0,2.0,10.0
HMGB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGCL,322.0,207.0,706.0,255.0,485.0,362.0,254.0,316.0,655.0,351.0
HMGCLL1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGCR,1172.0,700.0,295.0,219.0,355.0,379.0,616.0,343.0,529.0,967.0
HMGCS1,777.0,261.0,148.0,134.0,164.0,157.0,321.0,299.0,205.0,379.0
HMGCS2,16.0,0.0,3.0,0.0,0.0,4.0,17.0,19.0,74.0,14.0
HMGN1,2673.0,2428.0,2931.0,1959.0,2444.0,1732.0,2192.0,2027.0,2957.0,2155.0
HMGN2,4779.0,4405.0,6006.0,3642.0,3811.0,3483.0,3935.0,3026.0,5787.0,4527.0
HMGN2P46,5.0,21.0,9.0,8.0,8.0,4.0,8.0,2.0,7.0,4.0
HMGN3,2095.0,2415.0,2505.0,1503.0,1724.0,1968.0,1862.0,1691.0,3192.0,2002.0
HMGN3-AS1,12.0,66.0,26.0,30.0,30.0,39.0,32.0,39.0,39.0,19.0
HMGN4,595.0,597.0,1067.0,472.0,680.0,617.0,787.0,385.0,1227.0,948.0
HMGN5,191.0,283.0,253.0,173.0,162.0,245.0,164.0,219.0,332.0,266.0
HMGXB3,724.0,860.0,359.0,330.0,384.0,526.0,311.0,444.0,308.0,318.0
HMGXB4,365.0,567.0,517.0,418.0,297.0,352.0,372.0,509.0,292.0,403.0
HMHA1,338.0,524.0,133.0,222.0,171.0,471.0,241.0,483.0,258.0,284.0
HMHB1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0
HMMR,15.0,0.0,12.0,5.0,11.0,9.0,19.0,12.0,12.0,25.0
HMMR-AS1,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
HMOX1,919.0,1051.0,98.0,115.0,213.0,355.0,264.0,181.0,439.0,348.0
HMOX2,440.0,596.0,845.0,421.0,797.0,420.0,411.0,328.0,661.0,410.0
HMP19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMSD,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0
HMX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HN1,411.0,364.0,1024.0,396.0,597.0,394.0,425.0,481.0,629.0,469.0
HN1L,159.0,556.0,314.0,226.0,396.0,304.0,363.0,81.0,480.0,579.0
HNCAT21,19.0,35.0,13.0,8.0,13.0,18.0,9.0,26.0,9.0,13.0
HNF1A,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0
HNF1A-AS1,25.0,55.0,31.0,59.0,27.0,33.0,36.0,72.0,7.0,18.0
HNF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HNF4A,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
HNF4A-AS1,0.0,2.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0
HNF4G,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
HNMT,50.0,73.0,29.0,67.0,28.0,44.0,63.0,101.0,80.0,108.0
HNRNPA0,845.0,1683.0,1171.0,739.0,1337.0,1073.0,1128.0,1097.0,1162.0,1337.0
HNRNPA1,9309.0,8875.0,8171.0,4771.0,5360.0,7389.0,7938.0,5333.0,8803.0,7886.0
HNRNPA1L2,127.0,415.0,203.0,141.0,243.0,175.0,211.0,88.0,372.0,224.0
HNRNPA1P10,29.0,11.0,37.0,62.0,0.0,21.0,31.0,10.0,35.0,18.0
HNRNPA1P33,19.0,0.0,2.0,3.0,1.0,7.0,3.0,0.0,8.0,0.0
HNRNPA2B1,14201.0,15633.0,14370.0,11824.0,8611.0,14221.0,15831.0,7070.0,10784.0,14132.0
HNRNPA3,2070.0,3857.0,3111.0,2886.0,1684.0,2746.0,3109.0,4741.0,2018.0,2628.0
HNRNPA3P1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0
HNRNPAB,2320.0,2514.0,2479.0,1516.0,1688.0,2422.0,2252.0,775.0,1897.0,2206.0
HNRNPC,13031.0,10325.0,8376.0,5859.0,5325.0,6937.0,7875.0,6289.0,6640.0,7223.0
HNRNPCL1,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0
HNRNPCL2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPCL3,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPCL4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
HNRNPD,4736.0,6829.0,5146.0,3341.0,4028.0,5185.0,5040.0,2776.0,4323.0,5152.0
HNRNPDL,5219.0,5884.0,2837.0,2718.0,2819.0,4259.0,4921.0,2839.0,4323.0,4153.0
HNRNPF,5470.0,7518.0,4831.0,2756.0,3195.0,5009.0,5089.0,1440.0,5218.0,5828.0
HNRNPH1,2327.0,4414.0,2592.0,2892.0,1923.0,4951.0,4396.0,1847.0,2579.0,3796.0
HNRNPH2,514.0,328.0,274.0,126.0,155.0,220.0,121.0,26.0,183.0,225.0
HNRNPH3,2889.0,3307.0,3157.0,2295.0,1596.0,2753.0,2908.0,2052.0,2355.0,3259.0
HNRNPK,12751.0,14558.0,15086.0,8345.0,13938.0,10836.0,14354.0,4925.0,14542.0,15378.0
HNRNPKP3,28.0,13.0,16.0,18.0,25.0,14.0,21.0,5.0,23.0,35.0
HNRNPL,632.0,1021.0,694.0,445.0,561.0,976.0,889.0,915.0,830.0,953.0
HNRNPLL,654.0,949.0,1113.0,471.0,812.0,743.0,907.0,699.0,1014.0,1012.0
HNRNPM,4169.0,3387.0,2689.0,1508.0,1690.0,2588.0,2032.0,1416.0,1827.0,2538.0
HNRNPR,2773.0,4226.0,3358.0,1982.0,2462.0,2775.0,3076.0,1791.0,2609.0,3032.0
HNRNPU,12210.0,13634.0,7903.0,5989.0,5996.0,9431.0,8349.0,5805.0,6261.0,10213.0
HNRNPU-AS1,263.0,466.0,293.0,991.0,266.0,530.0,759.0,1278.0,333.0,417.0
HNRNPUL1,492.0,1134.0,1034.0,546.0,1150.0,914.0,776.0,598.0,865.0,1070.0
HNRNPUL2,104.0,199.0,132.0,133.0,85.0,131.0,118.0,88.0,80.0,131.0
HNRNPUL2-BSCL2,33.0,382.0,353.0,120.0,332.0,329.0,235.0,164.0,240.0,299.0
HOGA1,19.0,30.0,11.0,36.0,12.0,14.0,20.0,47.0,19.0,11.0
HOMER1,105.0,39.0,19.0,9.0,8.0,45.0,27.0,3.0,27.0,40.0
HOMER2,1.0,27.0,9.0,7.0,3.0,8.0,1.0,5.0,24.0,23.0
HOMER3,149.0,193.0,261.0,159.0,315.0,213.0,200.0,186.0,172.0,108.0
HOMEZ,73.0,55.0,86.0,38.0,58.0,43.0,67.0,45.0,98.0,110.0
HOOK1,116.0,2.0,22.0,3.0,3.0,51.0,90.0,44.0,39.0,146.0
HOOK2,100.0,93.0,29.0,22.0,32.0,35.0,35.0,39.0,39.0,46.0
HOOK3,1211.0,1784.0,2006.0,1606.0,1686.0,1635.0,1635.0,1380.0,645.0,1881.0
HOPX,942.0,544.0,399.0,65.0,79.0,518.0,734.0,240.0,1631.0,1732.0
HORMAD1,13.0,0.0,2.0,1.0,3.0,0.0,9.0,13.0,1.0,15.0
HORMAD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORMAD2-AS1,3.0,6.0,3.0,10.0,7.0,5.0,4.0,7.0,3.0,2.0
HOTAIR,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
HOTAIRM1,612.0,676.0,427.0,207.0,492.0,444.0,432.0,671.0,404.0,304.0
HOTS,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
HOTTIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXA-AS2,34.0,47.0,30.0,10.0,25.0,37.0,13.0,11.0,31.0,30.0
HOXA-AS3,21.0,51.0,54.0,31.0,46.0,77.0,37.0,103.0,80.0,61.0
HOXA1,22.0,23.0,23.0,16.0,23.0,9.0,14.0,30.0,36.0,15.0
HOXA10,51.0,139.0,321.0,138.0,154.0,195.0,122.0,112.0,315.0,224.0
HOXA10-AS,0.0,0.0,0.0,0.0,0.0,14.0,5.0,4.0,14.0,15.0
HOXA10-HOXA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXA11,3.0,3.0,4.0,3.0,6.0,14.0,7.0,4.0,4.0,6.0
HOXA11-AS,2.0,6.0,3.0,3.0,2.0,5.0,7.0,6.0,2.0,3.0
HOXA13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXA2,33.0,78.0,20.0,19.0,28.0,102.0,38.0,91.0,102.0,102.0
HOXA3,60.0,239.0,67.0,84.0,146.0,122.0,62.0,196.0,273.0,111.0
HOXA4,43.0,138.0,129.0,49.0,112.0,74.0,73.0,103.0,106.0,80.0
HOXA5,56.0,74.0,97.0,60.0,104.0,107.0,59.0,288.0,131.0,97.0
HOXA6,19.0,54.0,69.0,48.0,56.0,88.0,48.0,117.0,91.0,76.0
HOXA7,99.0,183.0,336.0,90.0,194.0,135.0,125.0,99.0,216.0,152.0
HOXA9,96.0,160.0,94.0,77.0,185.0,115.0,129.0,161.0,286.0,172.0
HOXB-AS1,20.0,22.0,10.0,14.0,16.0,6.0,9.0,22.0,14.0,5.0
HOXB-AS3,4.0,8.0,9.0,13.0,5.0,11.0,12.0,11.0,11.0,2.0
HOXB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXB13,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXB2,339.0,433.0,676.0,300.0,507.0,417.0,337.0,698.0,574.0,310.0
HOXB3,96.0,150.0,124.0,124.0,103.0,156.0,155.0,107.0,112.0,121.0
HOXB4,50.0,47.0,65.0,39.0,38.0,44.0,52.0,140.0,53.0,42.0
HOXB5,5.0,10.0,14.0,10.0,5.0,15.0,12.0,54.0,18.0,10.0
HOXB6,113.0,96.0,55.0,42.0,78.0,70.0,82.0,40.0,94.0,50.0
HOXB7,394.0,736.0,949.0,317.0,507.0,567.0,424.0,327.0,874.0,468.0
HOXB8,10.0,21.0,6.0,12.0,7.0,8.0,14.0,26.0,19.0,5.0
HOXB9,247.0,213.0,21.0,72.0,110.0,110.0,90.0,154.0,106.0,104.0
HOXC-AS1,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0
HOXC-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXC-AS3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOXC10,8.0,0.0,4.0,0.0,0.0,10.0,28.0,26.0,13.0,16.0
HOXC11,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0
HOXC12,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
HOXC13,6.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,7.0,6.0
HOXC13-AS,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
HOXC4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOXC5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
HOXC6,5.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0
HOXC8,10.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0
HOXC9,9.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,9.0,8.0
HOXD-AS2,70.0,120.0,89.0,58.0,75.0,57.0,53.0,231.0,70.0,40.0
HOXD1,674.0,865.0,708.0,569.0,1067.0,632.0,643.0,603.0,790.0,529.0
HOXD10,793.0,794.0,664.0,554.0,889.0,664.0,580.0,1296.0,1171.0,552.0
HOXD11,94.0,70.0,5.0,45.0,18.0,23.0,44.0,140.0,33.0,22.0
HOXD12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXD13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXD3,105.0,205.0,52.0,78.0,99.0,103.0,96.0,126.0,94.0,99.0
HOXD4,32.0,49.0,35.0,39.0,15.0,52.0,48.0,88.0,31.0,33.0
HOXD8,753.0,1268.0,1475.0,898.0,1131.0,1008.0,1132.0,980.0,1601.0,1069.0
HOXD9,973.0,1966.0,1307.0,931.0,1518.0,1125.0,874.0,1609.0,1581.0,855.0
HP,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0
HP09025,41.0,121.0,54.0,134.0,47.0,85.0,76.0,105.0,25.0,37.0
HP09053,8.0,28.0,2.0,7.0,3.0,8.0,4.0,18.0,2.0,7.0
HP1BP3,2839.0,3130.0,2244.0,1599.0,2023.0,2280.0,1973.0,1503.0,2350.0,2970.0
HPCA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
HPCAL1,851.0,1344.0,1977.0,756.0,1228.0,1366.0,932.0,648.0,1072.0,845.0
HPCAL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HPDL,6.0,24.0,1.0,3.0,3.0,8.0,12.0,2.0,3.0,4.0
HPGD,70.0,0.0,5.0,2.0,0.0,28.0,70.0,23.0,93.0,106.0
HPGDS,3.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,17.0,10.0
HPN,1.0,7.0,5.0,8.0,6.0,7.0,1.0,8.0,5.0,5.0
HPN-AS1,34.0,91.0,41.0,92.0,42.0,56.0,52.0,83.0,22.0,33.0
HPR,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0
HPRT1,624.0,600.0,962.0,512.0,656.0,552.0,610.0,504.0,982.0,765.0
HPS1,468.0,585.0,593.0,311.0,793.0,477.0,388.0,249.0,695.0,509.0
HPS3,237.0,339.0,342.0,205.0,359.0,295.0,279.0,121.0,393.0,359.0
HPS4,276.0,615.0,245.0,336.0,299.0,390.0,340.0,389.0,293.0,414.0
HPS5,313.0,681.0,361.0,373.0,283.0,374.0,383.0,341.0,251.0,449.0
HPS6,74.0,170.0,60.0,30.0,51.0,93.0,56.0,10.0,84.0,82.0
HPSE,32.0,53.0,65.0,75.0,42.0,39.0,57.0,77.0,21.0,68.0
HPSE2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPVC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPX,14.0,15.0,7.0,8.0,14.0,15.0,13.0,13.0,4.0,3.0
HPYR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,137.0,4.0,9.0,5.0,5.0,60.0,76.0,35.0,39.0,112.0
HRAS,169.0,182.0,228.0,102.0,214.0,209.0,177.0,202.0,299.0,240.0
HRASLS,10.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,6.0,9.0
HRASLS2,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
HRASLS5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
HRAT13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRAT17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRAT5,4.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0
HRAT56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
HRAT92,7.0,9.0,4.0,4.0,12.0,11.0,10.0,13.0,1.0,3.0
HRC,1.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
HRCT1,1.0,23.0,39.0,15.0,76.0,15.0,14.0,10.0,78.0,33.0
HRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRH1,1181.0,1881.0,1197.0,877.0,1899.0,1545.0,1615.0,790.0,1455.0,1487.0
HRH2,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0
HRH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HRH4,6.0,15.0,15.0,31.0,12.0,20.0,21.0,22.0,6.0,11.0
HRK,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HRNR,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HRSP12,176.0,114.0,259.0,91.0,126.0,123.0,123.0,103.0,346.0,168.0
HS1BP3,89.0,157.0,247.0,112.0,215.0,199.0,159.0,115.0,331.0,228.0
HS1BP3-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS2ST1,358.0,368.0,435.0,297.0,525.0,370.0,503.0,265.0,361.0,600.0
HS3ST1,140.0,107.0,179.0,81.0,54.0,65.0,95.0,49.0,99.0,90.0
HS3ST2,194.0,0.0,54.0,12.0,160.0,32.0,17.0,78.0,40.0,295.0
HS3ST3A1,20.0,0.0,0.0,0.0,0.0,9.0,17.0,31.0,8.0,2.0
HS3ST3B1,95.0,82.0,34.0,59.0,37.0,94.0,77.0,137.0,92.0,115.0
HS3ST4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS3ST5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
HS3ST6,26.0,8.0,0.0,0.0,0.0,5.0,15.0,47.0,36.0,26.0
HS6ST1,127.0,175.0,120.0,51.0,91.0,180.0,150.0,51.0,145.0,119.0
HS6ST2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
HS6ST2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS6ST3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HSBP1,2021.0,1863.0,2855.0,1113.0,1957.0,1811.0,1694.0,1138.0,4031.0,2656.0
HSBP1L1,143.0,112.0,241.0,81.0,176.0,150.0,119.0,284.0,343.0,117.0
HSCB,194.0,340.0,258.0,129.0,155.0,166.0,213.0,163.0,273.0,172.0
HSD11B1,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HSD11B1L,60.0,51.0,69.0,37.0,60.0,39.0,26.0,37.0,95.0,42.0
HSD11B2,28.0,5.0,2.0,0.0,1.0,3.0,4.0,0.0,12.0,15.0
HSD17B1,29.0,31.0,36.0,18.0,29.0,31.0,34.0,64.0,26.0,34.0
HSD17B10,551.0,648.0,967.0,291.0,603.0,548.0,409.0,273.0,938.0,532.0
HSD17B11,2552.0,2752.0,3402.0,2629.0,3212.0,3105.0,3607.0,2144.0,5273.0,3668.0
HSD17B12,1289.0,1523.0,3269.0,1570.0,1881.0,1691.0,2041.0,712.0,2759.0,2815.0
HSD17B13,20.0,22.0,25.0,32.0,28.0,16.0,97.0,63.0,87.0,65.0
HSD17B14,125.0,149.0,234.0,96.0,144.0,108.0,64.0,317.0,89.0,117.0
HSD17B2,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
HSD17B3,22.0,38.0,16.0,18.0,9.0,22.0,18.0,19.0,16.0,20.0
HSD17B4,1076.0,1077.0,1230.0,659.0,927.0,974.0,779.0,588.0,1374.0,1321.0
HSD17B6,0.0,7.0,14.0,2.0,6.0,4.0,2.0,0.0,9.0,4.0
HSD17B7,182.0,272.0,312.0,211.0,250.0,177.0,186.0,332.0,343.0,216.0
HSD17B7P2,77.0,90.0,67.0,50.0,105.0,36.0,51.0,119.0,60.0,36.0
HSD17B8,230.0,206.0,248.0,134.0,135.0,144.0,178.0,116.0,333.0,128.0
HSD3B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSD3B2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
HSD3B7,713.0,1172.0,1122.0,684.0,1077.0,870.0,610.0,619.0,816.0,596.0
HSD3BP4,61.0,30.0,34.0,85.0,29.0,61.0,46.0,40.0,22.0,28.0
HSD52,1.0,4.0,0.0,3.0,0.0,5.0,3.0,5.0,3.0,0.0
HSDL1,190.0,172.0,208.0,215.0,285.0,263.0,269.0,74.0,280.0,354.0
HSDL2,599.0,777.0,950.0,546.0,699.0,550.0,570.0,450.0,749.0,757.0
HSF1,581.0,719.0,452.0,320.0,378.0,533.0,358.0,934.0,442.0,356.0
HSF2,625.0,394.0,386.0,279.0,350.0,338.0,503.0,253.0,491.0,691.0
HSF2BP,21.0,23.0,4.0,3.0,17.0,5.0,3.0,1.0,6.0,9.0
HSF4,59.0,46.0,21.0,23.0,13.0,27.0,24.0,115.0,29.0,24.0
HSF5,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
HSFX1,1.0,0.0,4.0,1.0,1.0,3.0,5.0,2.0,4.0,0.0
HSFX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
HSFY1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSFY1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSFY2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSH2D,35.0,63.0,22.0,51.0,34.0,27.0,37.0,52.0,22.0,21.0
HSP90AA1,13664.0,23909.0,14091.0,15678.0,18874.0,12126.0,11884.0,52332.0,24358.0,14537.0
HSP90AB1,23235.0,29396.0,18162.0,14708.0,16675.0,18296.0,16843.0,25363.0,24332.0,17343.0
HSP90AB4P,17.0,23.0,15.0,68.0,13.0,25.0,20.0,40.0,18.0,15.0
HSP90B1,12973.0,9693.0,9769.0,6242.0,9938.0,7420.0,7777.0,12765.0,9665.0,8301.0
HSP90B2P,13.0,49.0,7.0,4.0,5.0,16.0,10.0,4.0,8.0,12.0
HSPA12A,15.0,0.0,1.0,3.0,1.0,8.0,17.0,4.0,10.0,25.0
HSPA12B,717.0,1466.0,1683.0,426.0,1428.0,1302.0,647.0,221.0,733.0,665.0
HSPA13,390.0,514.0,423.0,285.0,630.0,384.0,572.0,171.0,431.0,632.0
HSPA14,748.0,997.0,509.0,365.0,572.0,659.0,828.0,269.0,681.0,876.0
HSPA1A,17536.0,68089.0,5317.0,17161.0,78222.0,18380.0,9393.0,36888.0,76655.0,13749.0
HSPA1B,12869.0,43844.0,2720.0,8305.0,31626.0,11644.0,7991.0,42062.0,30806.0,8707.0
HSPA1L,18.0,17.0,11.0,15.0,21.0,18.0,24.0,29.0,43.0,24.0
HSPA2,2026.0,2124.0,1512.0,1030.0,2893.0,1893.0,2607.0,1014.0,2762.0,2518.0
HSPA4,1078.0,1480.0,922.0,826.0,1124.0,1065.0,971.0,676.0,1083.0,1500.0
HSPA4L,191.0,191.0,143.0,226.0,80.0,151.0,127.0,171.0,102.0,229.0
